,kcat,MW,kcat_MW
NDPK5_num2,664696.5401,61.8538,10746.252293311001
DHORTS,220052.0861,77.6548,2833.721625707619
OMPDC,238272.5318,52.7005,4521.257517480859
CS,170131.6815,288.0899,590.5506631784037
ICDHyr,474083.1216,91.5134,5180.4776305983605
ACALD_num1,39708.0,33.4425,1187.351424086118
ACALD_num2,39708.0,3845.0896,10.32693750491536
ACS,2071300.0,72.0936,28730.705638225863
PPA_num1,370525.8463,116.2719,3186.7187712594355
PPA_num2,370525.8463,26.9004,13773.990212041455
PPA_num3,370525.8463,118.2214,3134.1689939384914
PPCK,96962.89655,59.6435,1625.7076890189207
ME1,472238.3999,252.7893,1868.1107147335747
ALAR_num1,152416.8,77.6892,1961.8788711944517
ALAR_num2,152416.8,78.3059,1946.4280469287755
ALATA_L_num1,161428.4527,91.0347,1773.2628624030176
ALATA_L_num2,161428.4527,92.4324,1746.4487852744276
XYLK_num1,2569370.4,122.1788,21029.592695295745
XYLK_num2,2569370.4,105.2365,24415.20194989381
RBK,60150.85715,64.581,931.4017613539586
GLYK,11826000.0,224.9231,52577.969981740425
PPM,292975.7143,44.37,6603.013619562767
ASPTA_num1,553694.2355,87.1467,6353.588093410307
ASPTA_num2,553694.2355,87.0756,6358.776000395059
FBP_num1,600801.2399,68.6469,8752.05202128574
FBP_num2,600801.2399,147.3357,4077.7709672536935
FBP_num3,600801.2399,71.7046,8378.838176351308
FBP_num4,600801.2399,29.721,20214.70475084957
GLGC,273324.5143,194.7906,1403.170965642079
PYK_num1,9171089.867,205.4286,44643.68577208822
PYK_num2,9171089.867,202.9177,45196.10594344407
A5PISO_num1,424938.4614,140.7843,3018.36541006348
A5PISO_num2,424938.4614,136.1257,3121.662268036087
IPPMIb,9598.568465,72.3693,132.6331533537011
ACHBS_num1,131391.2571,143.0927,918.2247389279815
ACHBS_num2,131391.2571,161.9222,811.4468374318036
ACLS_num1,140584.4308,161.9222,868.2220893737857
ACLS_num2,140584.4308,143.0927,982.4710191365457
PSCVT,66641.84392,46.0958,1445.724858230034
ANS,30093.410930000002,228.7288,131.56808819003118
ANPRT,4895.886082,113.7399,43.044578745013844
CHORM_num1,504308305.1,86.2227,5848904.118057078
CHORM_num2,504308305.1,84.085,5997601.297496581
CHORS,35853.475419999995,156.5498,229.02281203808624
IGPS,13523.15849,49.4923,273.23762464060064
ECOAH6_num1,4002840.0,77.0722,51936.23641209152
ECOAH6_num2,4002840.0,159.1878,25145.394307855247
ENO,230620.39800000002,91.3099,2525.6888683483394
FBA_num1,37029.58592,78.2945,472.95258185440866
FBA_num2,37029.58592,381.0919,97.1670768127058
MGSA,877072.5,101.5115,8640.12944346207
PPS,1416119.76,174.8702,8098.119405135923
PGI,4689890.6,123.0595,38110.756178921576
PGK,982517.4173,41.1182,23894.95204799821
EDA,259742.268,66.8521,3885.326982996795
PGL,184850.9778,36.3076,5091.247501900429
RPE,4676669.01,24.5542,190463.09837013626
TALA_num1,551472.9062,70.4385,7829.140401910886
TALA_num2,551472.9062,35.6588,15465.268214297732
TKT1_num1,43499085.23,144.4235,301191.1858527179
TKT1_num2,43499085.23,73.0427,595529.5358742215
G6PDA,1036669.0909999999,178.6452,5802.949595063287
ALCD2x_num1,614130.9232,3845.0896,159.7182347064162
ALCD2x_num2,614130.9232,141.5183,4339.586634378734
ALDD2y_num1,58605.48,29.41,1992.7058823529412
ALDD2y_num2,58605.48,84.194,696.0766800484595
ALDD2y_num3,58605.48,225.2254,260.2081292784917
ALDD2y_num4,58605.48,31.488,1861.2004573170732
ALDD2y_num5,58605.48,36.502,1605.5416141581284
RMI,539316.0,188.7978,2856.579896587778
FMNAT,168.39666,34.7343,4.8481374318756965
NADDP_num1,375317.55,59.3779,6320.828961617032
NADDP_num2,375317.55,73.6061,5099.000626306787
NMNAT_num1,27709.78505,189.3833,146.31588450512797
NMNAT_num2,27709.78505,24.528,1129.7205255218526
HMPK1_num1,779.6571444,114.5344,6.807187573340411
HMPK1_num2,779.6571444,61.6948,12.637323476208692
NDPK6_num1,664696.5401,23.586,28181.825663529213
