GO,ec,kcat
GO:0047688,4.1.1.12,442.0
GO:0004351,4.1.1.15,100.7
GO:0004586,4.1.1.17,999.0
GO:0008923,4.1.1.18,636.0
GO:0008792,4.1.1.19,999.0
GO:0008836,4.1.1.20,58.0
GO:0004590,4.1.1.23,999.0
GO:0008964,4.1.1.31,999.0
GO:0004633,4.1.1.36,2.9
GO:0004853,4.1.1.37,999.0
GO:0009028,4.1.1.47,18.9
GO:0004425,4.1.1.48,15.4
GO:0004612,4.1.1.49,78.82
GO:0004014,4.1.1.50,999.0
GO:0008949,4.1.1.8,88.0
GO:0033982,4.1.1.85,64.0
GO:0050080,4.1.1.9,135.0
GO:0004332,4.1.2.13,87.0
GO:0008675,4.1.2.14,999.0
GO:0008738,4.1.2.17,19.3
GO:0008994,4.1.2.19,38.3
GO:0008672,4.1.2.20,447.0
GO:0008674,4.1.2.21,0.94
GO:0004150,4.1.2.25,1.8
GO:0004139,4.1.2.4,521.0
GO:0009025,4.1.2.40,24.3
GO:0004793,4.1.2.5,18.3
GO:0004451,4.1.3.1,800.0
GO:0004049,4.1.3.27,383.0
GO:0008747,4.1.3.3,44.2
GO:0046421,4.1.3.30,105.0
GO:0008701,4.1.3.39,358.4
GO:0008813,4.1.3.40,1.7
GO:0009034,4.1.99.1,44.0
GO:0004089,4.2.1.1,33000000.0
GO:0003855,4.2.1.10,310.0
GO:0004634,4.2.1.11,230.0
GO:0043748,4.2.1.113,150.0
GO:0052684,4.2.1.122,3.46
GO:0019172,4.2.1.130,2.61
GO:0004300,4.2.1.17,5667.0
GO:0004424,4.2.1.19,1000.0
GO:0004333,4.2.1.2,3100.0
GO:0004834,4.2.1.20,999.0
GO:0004655,4.2.1.24,999.0
GO:0003994,4.2.1.3,999.0
GO:0047780,4.2.1.3,999.0
GO:0003861,4.2.1.33,4.5
GO:0008872,4.2.1.40,44.0
GO:0008867,4.2.1.42,22.0
GO:0008460,4.2.1.46,466.6
GO:0008446,4.2.1.47,8.82
GO:0004664,4.2.1.51,1932.0
GO:0004317,4.2.1.59,0.1
GO:0008659,4.2.1.59,0.1
GO:0008693,4.2.1.59,0.1
GO:0019171,4.2.1.59,0.1
GO:0047451,4.2.1.59,0.1
GO:0004852,4.2.1.75,890.0
GO:0008927,4.2.1.8,5.88
GO:0008684,4.2.1.80,450.0
GO:0047808,4.2.1.81,19.8
GO:0004160,4.2.1.9,75.8
GO:0047769,4.2.1.91,6.1
GO:0047456,4.2.1.99,3.0
GO:0004795,4.2.3.1,4080.0
GO:0008929,4.2.3.3,600.0
GO:0003856,4.2.3.4,25000.0
GO:0004107,4.2.3.5,0.87
GO:0070205,4.2.99.20,167.0
GO:0008797,4.3.1.1,999.0
GO:0008838,4.3.1.15,375.8
GO:0003941,4.3.1.17,585.0
GO:0008721,4.3.1.18,118.0
GO:0004794,4.3.1.19,1414.0
GO:0008851,4.3.1.7,770.0
GO:0004056,4.3.2.1,2930.0
GO:0004018,4.3.2.2,999.0
GO:0070626,4.3.2.2,999.0
