,kcat,MW,kcat_MW
ANHMK,21852.99274,39.4963,553.2921498975853
GALCTLO,21845.1942,36.4479,599.3539874725294
TRSARr_reverse,21843.31589,30.4274,717.8830885977771
PSSA120,21806.892219999998,52.8018,412.9952429652019
ACGAMK,21792.22839,33.0427,659.5171820099448
TKT1_reverse,21768.90264,73.0427,298.0298187224733
GHBDHx,21755.70782,124.6326,174.55872556618408
SSALx,21752.970019999997,99.4357,218.76418650444455
O16A4Lpp,21752.964519999998,46.8777,464.03651459009285
NADPHXE,21725.95795,54.65,397.54726349496804
KG6PDC,21707.18087,23.4448,925.8846682419985
3AMACHYD,21702.14096,28.8981,750.9885065108087
NADH10,21675.04155,40.34,537.3089129895885
G3PAT161,21670.12086,100.021,216.65571090071083
ACPS1,21613.678930000002,21.7678,992.9197681897116
PLIPA1A161pp,21566.392330000002,66.3263,325.1559687484452
HADPCOADH3,21560.118169999998,51.7326,416.76076922482144
THIORDXi,21554.20653,20.4696,1052.9862102825653
PTHRpp,21548.48395,98.8772,217.93177749774463
CRNBTCT,21541.32361,90.2535,238.67577002553918
PUACGAMS,21535.02252,66.848,322.14909226902824
OMMBLHXy,21532.4983,42.9535,501.2978756096709
MALDDH,21531.68437,40.3149,534.0875053640217
LACZpp,21454.23258,83.46,257.0600596693027
MLTP3,21419.81586,181.0448,118.31224017480754
LPLIPAL1A140pp,21414.67088,94.4886,226.6376142730446
M1PD,21414.05704,41.139,520.5293526823693
LPLIPAL2E180,21392.64662,38.9783,548.8347778122701
ALAALAD,21385.38081,21.213,1008.1261872436712
3OAR100_reverse,21350.28,102.2412,208.8226664006291
2AGPEAT181,21320.30109,80.7,264.19208289962825
S2FE2SR,21311.918230000007,277.201,76.8825445434901
NTPP5,21294.567769999998,17.3058,1230.4873377711515
GTHPi,21215.21356,20.4696,1036.4254093875797
PGSA180,21211.67154,20.7006,1024.688730761427
CLPNS181pp,21182.30828,47.6335,444.69350939989715
CBIAT_reverse,21148.313869999998,21.9989,961.3350608439513
PACCOAL,21124.09373,48.9529,431.5187400542154
G3PAT140,21089.53063,100.021,210.85102758420726
BETALDHy,21034.4954,211.6445,99.38597695664193
HEPK1,20974.877959999998,30.8723,679.4076877977992
VPAMTr,20916.2244,46.7112,447.777500899142
DSBAO1,20873.21805,43.2467,482.65458520534514
DHBS,20871.0962,118.2243,176.53812456491605
AACPS3,20818.497330000002,89.3395,233.0267947548397
CRNCAR_reverse,20738.592380000002,28.1902,735.6667345389533
FACOAL160t2pp,20734.33515,60.7731,341.1761971990897
SPMS,20729.78166,64.6428,320.68198871336017
AM4PA,20712.18859,20.5362,1008.569676473739
GLUNpp,20661.074930000002,147.4028,140.16745224649736
PCNO,20632.68563,69.44800000000001,297.0954617843566
GGGABADr,20624.58608,53.4186,386.0937216624922
FACOAL181t2pp,20613.48472,60.7731,339.1876458498908
ASPT,20574.12224,209.4245,98.2412384415386
CHOLID,20571.09954,107.116,192.04506833712986
DHFR_reverse,20559.74064,17.9994,1142.2458881962732
HPYRP,20546.33029,21.436,958.4964680910615
GLYCLTDx,20514.68636,35.3434,580.4389605980183
MOGDS,20487.08051,21.6429,946.5959048925977
USHD,20475.119430000002,26.8942,761.3210071316494
LCARS_reverse,20440.77639,81.0267,252.27210771264285
GALCTND,20418.461369999997,42.5229,480.1756552351792
PPPNDO,20380.61275,126.9954,160.4830785209543
MCITL2_reverse,20380.450419999997,128.5386,158.55509877966617
FRULYSE,20347.52166,249.3506,81.60205614103194
APPLDHr_reverse,20318.82558,309.6976,65.60859877506316
PNSPA,20269.59981,26.482,765.4104603126652
CRNDCAL2,20216.420140000002,58.5591,345.2310595620493
HPACOAT,20199.22046,59.404,340.03131876641305
FUM_reverse,2156.14877,120.2106,17.936427985552022
MLTP2_reverse,20152.04116,181.0448,111.30969329138424
ACPPAT160,20129.327719999997,46.854,429.6181269475391
AGM4PA,20099.44301,20.5362,978.7323365569092
2DGULRx,20094.4938,70.791,283.85661736661444
GGGABADr_reverse,20083.16025,53.4186,375.9581915287934
ALAALAr_reverse,20079.23664,39.3158,510.7167255912381
ACMAMUT,20034.19254,27.9282,717.346357445163
OHPBAT_reverse,20025.08515,79.5666,251.6770246560743
CPMPS,19871.439980000006,142.1499,139.79214885131822
IDOND_reverse,19846.427490000002,37.1466,534.2730556766974
APH160,19803.85527,10.2998,1922.7417299365038
AACPS4,19801.47101,89.3395,221.64295759434518
F6PA_reverse,19796.270809999998,23.5552,840.4204086571118
FDMO3,19785.56126,166.9451,118.51537577323325
FCLPA_reverse,19739.33073,23.2225,850.0088590806331
TREH,19724.518930000002,63.6967,309.6631211664027
FACOAL180t2pp,19696.916390000002,60.7731,324.10583613473733
G3PAT160,19657.24406,100.021,196.53116905449852
FACOAL120t2pp,19622.55997,60.7731,322.882327378396
IDOND,19621.3609,37.1466,528.2141811094419
GLCTR1,19615.952869999997,42.2841,463.9084873510373
RNDR3b,19613.29221,242.982,80.71911586043409
PUNP6,19606.602909999998,155.6995,125.92592082826212
