,MW
HCINNMtex_num1,41.2193
HCINNMtex_num2,116.7646
HCINNMtex_num3,117.9984
HCINNMtex_num4,121.1028
HPPPNtex_num1,121.1028
HPPPNtex_num2,117.9984
HPPPNtex_num3,41.2193
HPPPNtex_num4,116.7646
ACtex_num1,41.2193
ACtex_num2,116.7646
ACtex_num3,117.9984
ACtex_num4,121.1028
ACALDtex_num1,41.2193
ACALDtex_num2,116.7646
ACALDtex_num3,117.9984
ACALDtex_num4,121.1028
ACMANAtex_num1,117.9984
ACMANAtex_num2,121.1028
ACMANAtex_num3,116.7646
ACMANAtex_num4,41.2193
ACMUMtex_num1,41.2193
ACMUMtex_num2,116.7646
ACMUMtex_num3,117.9984
ACMUMtex_num4,121.1028
ACACT7r_num1,46.53
ACACT7r_num2,81.7516
PSP_L,35.0423
ACACT2r_num1,46.53
ACACT2r_num2,81.7516
ACACT3r_num1,46.53
ACACT3r_num2,81.7516
ACACT4r_num1,46.53
ACACT4r_num2,81.7516
SUCCt2_2pp_num1,45.4357
SUCCt2_2pp_num2,20.0706
SUCFUMtpp_num1,48.4117
SUCFUMtpp_num2,47.9347
SUCFUMtpp_num3,45.7502
SUCptspp,204.2936
SULabcpp_num1,116.3428
SULabcpp_num2,182.5595
SULabcpp_num3,181.6043
TSULabcpp_num1,181.6043
TSULabcpp_num2,182.5595
TARTRt7pp,52.9058
AHGDx,176.701
TAURabcpp,150.4815
THMDt2pp_copy1_num1,46.3887
THMDt2pp_copy1_num2,43.4752
Kt2pp_num1,141.9706
Kt2pp_num2,140.9865
Kt2pp_num3,184.2481
Kt2pp_num4,69.2933
AKGt2rpp,47.052
XYLt2pp,53.6074
THMabcpp,205.2256
THMDt2pp_copy2,46.1393
THRabcpp,173.063
TREptspp,256.6526
TRPt2rpp_num1,45.2101
TRPt2rpp_num2,44.332
TRPt2rpp_num3,49.6895
TYRt2rpp_num1,42.8186
TYRt2rpp_num2,49.6895
URIt2pp_copy1_num1,46.3887
URIt2pp_copy1_num2,43.4752
URIt2pp_copy2,46.1393
VALabcpp,173.063
XTSNt2rpp,46.1393
XYLabcpp,174.2641
XYLUt2pp,98.8529
THRt4pp,43.4772
GALtex_num1,41.2193
GALtex_num2,116.7646
GALtex_num3,117.9984
GALtex_num4,121.1028
GALCTtex_num1,41.2193
GALCTtex_num2,116.7646
GALCTtex_num3,117.9984
GALCTtex_num4,121.1028
GALCTNtex_num1,41.2193
GALCTNtex_num2,116.7646
GALCTNtex_num3,117.9984
GALCTNtex_num4,121.1028
GALTtex_num1,41.2193
GALTtex_num2,116.7646
GALTtex_num3,117.9984
GALTtex_num4,121.1028
GALURtex_num1,41.2193
GALURtex_num2,116.7646
GALURtex_num3,117.9984
GALURtex_num4,121.1028
GTPCI,248.3034
FDMO,166.9429
FEOXAMabcpp,161.1923
CBL1abcpp,153.426
ACACt2pp,47.5272
ACGAptspp_num1,255.8441
ACGAptspp_num2,272.9336
ACMANAptspp,295.8814
ACNAMt2pp,53.5506
CHOLD,61.8769
DRPA,27.7335
TKT2_num1,144.4218
TKT2_num2,73.0418
FEENTERabcpp,162.6309
FECRMabcpp,161.1923
GAMtex_num1,41.2193
GAMtex_num2,116.7646
GAMtex_num3,117.9984
GAMtex_num4,121.1028
GBBTNtex_num1,41.2193
GBBTNtex_num2,116.7646
GBBTNtex_num3,117.9984
GBBTNtex_num4,121.1028
ARBt2rpp,51.6839
DMSOR1pp,129.2489
ARGabcpp_num1,136.8151
ARGabcpp_num2,104.9812
ARGabcpp_num3,105.0812
ARGAGMt7pp,93.6841
ASCBptspp,265.8482
ASNt2rpp,54.2324
ASPabcpp,139.1582
ASPt2pp,47.1586
ASPt2_2pp,45.4357
ASPt2_3pp_num1,45.7502
ASPt2_3pp_num2,47.9347
HIStex_num1,41.2193
HIStex_num2,116.7646
HIStex_num3,117.9984
HIStex_num4,121.1028
HXAtex_num1,41.2193
HXAtex_num2,116.7646
HXAtex_num3,117.9984
HXAtex_num4,121.1028
HYXNtex_num1,117.9984
HYXNtex_num2,121.1028
HYXNtex_num3,116.7646
HYXNtex_num4,41.2193
IDONtex_num1,41.2193
IDONtex_num2,116.7646
IDONtex_num3,117.9984
IDONtex_num4,121.1028
ILEtex_num1,41.2193
ILEtex_num2,116.7646
ILEtex_num3,117.9984
ILEtex_num4,121.1028
INSTtex_num1,41.2193
INSTtex_num2,116.7646
