,MW,kcat,kcat_MW,source
NTD4_num2,27.1628,347934.6,12809.231743413786,
NTD5_num1,45.4156,290100.0,6387.672958190577,
NTD5_num2,26.9001,290100.0,10784.34652659284,
NTD5_num3,25.3003,290100.0,11466.267198412666,
NTD5_num4,20.2552,290100.0,14322.248114064538,
NTD6_num1,45.4156,290100.0,6387.672958190577,
NTD6_num2,26.9001,290100.0,10784.34652659284,
NTD6_num3,20.2552,290100.0,14322.248114064538,
LGTHL,29.8393,2805359.999242105,94015.61026036485,
PYDXPP_num1,30.201,18736.0,620.3768087149432,
PYDXPP_num2,30.3706,18736.0,616.9124087110562,
PYDXPP_num3,29.7074,18736.0,630.6846105684107,
PYDXPP_num4,27.1628,18736.0,689.7668870661347,
PDXPP,30.201,18736.0,620.3768087149432,
HACD6_num1,159.1859,4965491.502439024,31193.035956319145,
HACD6_num2,77.0713,4965491.502439024,64427.24467394509,
ECOAH1_num1,77.0713,3345870.0,43412.65814901267,
ECOAH1_num2,159.1859,3345870.0,21018.632931685534,
ECOAH2_num1,77.0713,4002840.0000000005,51936.84289742097,
ECOAH2_num2,159.1859,4002840.0000000005,25145.694436504746,
ECOAH3_num1,77.0713,4002840.0000000005,51936.84289742097,
ECOAH3_num2,159.1859,4002840.0000000005,25145.694436504746,
UGLT,79.2904,1062332.3076923077,13397.99405340757,
DXPS,135.2323,21076.36363636364,155.85302946384581,
MECDPS,50.692,8400.0,165.70662037402354,
DDGLK,33.962,55241.99999999999,1626.5826511983985,
XYLI2,198.9657,72319.55294117646,363.47748853785583,
PMANM,50.462,89293.84615384617,1769.526498233248,
ICL,190.084,347321.4545454546,1827.1998408359173,
GLYCL,364.0834,537702.9939851547,1476.8676462182968,
HCYSMT,33.4224,899817.75,26922.595325290826,
UDPG4E,74.5293,1635710.9596363637,21947.220215893125,
LACZ,465.9259,1911960.0,4103.570975556413,
TRE6PH,63.8369,55198.285714285725,864.6767890402842,
XYLI1,198.9657,87497.75172413794,439.762992938672,
PPC,396.2457,263609.7108630981,665.2683192854789,
G3PT_num1,30.4125,410860.0,13509.576654336208,
G3PT_num2,27.1628,410860.0,15125.8338610158,
GOFUCR,72.2814,2700.0,37.35400808506753,
PYDXK_num1,61.694,25358.08695652174,411.03003463094865,
PYDXK_num2,62.6437,25358.08695652174,404.7986781834684,
GTPCII2,43.6714,289966.04,6639.723938321189,
SADT2,350.9829,20816.866597151307,59.31020171396189,
ALCD19_num1,141.5167,18144.88357908632,128.21726042994445,
ALCD19_num2,3845.0436,18144.88357908632,4.719031945199872,
RMPA,120.5806,59904.0,496.79633373859474,
PFK_2,139.3667,375752.2009318254,2696.1404763966243,
TGBPA_num1,172.3651,26584.500002985,154.2336586871994,
TGBPA_num2,77.9198,26584.500002985,341.1777238004333,
PGLYCP,27.3888,154725.75,5649.2343585699255,
GLXCL,129.4621,68040.0,525.5592177169998,
GLCRAL,164.3028,431236.8,2624.646688918265,
KAS14_num1,85.2257,4990.437771663443,58.55555039927442,
KAS14_num2,86.0906,4990.437771663443,57.967278328452146,
EDTXS1,35.4064,471600.0,13319.625830358356,
EDTXS3,35.493,387265.32,10911.03372495985,
EDTXS4,37.41,387265.32,10351.919807538092,
NNDPR,65.5233,1443067.2,22023.725911240734,
HACD4_num1,159.1859,4965491.502439024,31193.035956319145,
HACD4_num2,77.0713,4965491.502439024,64427.24467394509,
HACD7_num1,77.0713,4965491.502439024,64427.24467394509,
HACD7_num2,159.1859,4965491.502439024,31193.035956319145,
AACPS1,89.3385,57.6,0.6447388304034655,
SDPDS,82.5371,646888.4767779601,7837.547924242071,
DMSOR1_num1,233.0399,387265.32,1661.7983444036838,
DMSOR1_num2,144.0922,387265.32,2687.621675566061,
DKGLCNR2y,70.7902,160020.0,2260.4823831547305,
2DGULRy,70.7902,387265.32,5470.60638336945,
NTD9_num1,20.2552,347934.6,17177.544531774558,
NTD9_num2,26.9001,347934.6,12934.323664224297,
NTD9_num3,25.3985,347934.6,13699.02159576353,
