,biomass,biomass_diff,biomass_diff_ratio
FCLT,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DPCOAK,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
KDOPS,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
KDOPP,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
GTPDPK,0.8769972144269743,-4.551914400963142e-15,-5.190340774271859e-15
DCMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
G3PGtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
DGMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
DAMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
G3PCtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
G3PEtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
FALDtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
G3PItex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
CYSDtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
MLTP1_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
XMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
ANHGMtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
3PEPTtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
GMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
DUMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
DTMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
DURADx_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
IMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
UMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
MALtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
TYMtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
T2DECAI_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
ALAALAtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
LDH_D_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
ECOAH7_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
IPDDI_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
ACSERtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
SO2tex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
HOMtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
O2Stex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
GAL1Ptex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
MNtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
SKMtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
G1Ptex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
CMPtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
H2Stex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
LSERDHr_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
PUNP4_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
DHFR_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
4PEPTtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
DADK_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
E4PD_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
GSNtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
ACNAMtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
ACACtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
HACD3_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
ETOHtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
DHAtex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
HG2tex_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
GLUDy_reverse,0.8769972144271296,-1.5987211554602254e-13,-1.822948954866214e-13
