,kcat,MW,kcat_MW,source
MLTP2,27243.36347,181.0448,150.47857475055898,
PACCOAL,21124.09373,48.9529,431.5187400542154,
GP4GH,10828.74747,31.2967,346.0028523774071,
ACGAMT,10386.84518,81.9145,126.80105695572823,
AADDGT,231887.7737,40.6396,5705.956104390791,
GMHEPK,1502082.994,102.1012,14711.70754114545,
TRE6PS,26430.17295,53.6112,492.99722725848335,
UDCPDP_num1,15096.38615,29.0213,520.182974229273,
UDCPDP_num2,15096.38615,22.3986,673.9879345137642,
UDCPDP_num3,15096.38615,29.7588,507.29149528878855,
TREH,19724.51893,63.6967,309.6631211664027,
CYTK1,86400.0,24.7463,3491.4310422164117,
CYTK2,25750.10172,24.7463,1040.5637093222017,
GK1,151200.0,47.1854,3204.38101616178,
HACD1_num1,38780.61833000001,159.1878,243.61551783490947,
HACD1_num2,38780.61833000001,77.0722,503.17258791107565,
HACD2_num1,39035.14214,159.1878,245.2144080136794,
HACD2_num2,39035.14214,77.0722,506.4749953939293,
ACACCT_num1,27123.73889,92.9717,291.7418837130008,
ACACCT_num2,27123.73889,57.562,471.20911174038423,
BUTCT,46897.97526,92.9717,504.43280331541746,
2DGULRx,20094.4938,70.791,283.85661736661444,
G1PTT_num1,10400.149,130.7742,79.52752913036363,
G1PTT_num2,10400.149,130.9376,79.42828492350554,
TDPGDH_num1,24678.10401,39.7538,620.7734609018509,
TDPGDH_num2,24678.10401,81.1167,304.22963471147125,
UDPGALM,651626.1936,42.9659,15166.124615101744,
TDPDRE,18583.91096,21.2701,873.7105589536487,
TDPDRR,14288.31244,32.6941,437.0303033269,
G3PD6,29478.25323,148.4235,198.6090695206622,
ALLTN,150250.7634,198.4064,757.2878868826813,
UAPGR,154800.0,37.851,4089.7202187524767,
NDPK7_num1,9921.020926,23.586,420.63176994827455,
NDPK7_num2,9921.020926,61.8538,160.39468756972087,
GLYAT,10460.27884,86.2341,121.30095681406776,
ADNUC,45598.68659,32.5608,1400.4166540748386,
GMHEPPA,283427.0473,21.2942,13310.058480713056,
S7PI,32534.6772,83.259,390.7646885021439,
TRPS3,35739.90722,143.4143,249.2074166941512,
CRNBTCT,21541.32361,90.2535,238.67577002553918,
CRNCBCT,22065.27,90.2535,244.48104505642442,
CRNCDH,39436.11997,28.1902,1398.9301235890487,
FADRx,1090800.0,26.241999999999997,41566.953738282136,
GTPDPK,21923.85937,83.8756,261.38542520113117,
NDPK2_num1,24602.14215,23.586,1043.0824281353346,
NDPK2_num2,24602.14215,61.8538,397.7466566322522,
NDPK3_num1,17317.196809999998,61.8538,279.9698128490084,
NDPK3_num2,17317.196809999998,23.586,734.2150771644195,
NDPK4_num1,12739.59929,23.586,540.1339476808276,
NDPK4_num2,12739.59929,61.8538,205.96308213884998,
FCLT_num1,9524.036689,33.052,288.15311294324096,
FCLT_num2,9524.036689,35.8844,265.40883194368587,
FCLT_num3,9524.036689,93.508,101.85264029815632,
HBZOPT,9461.03602,32.5118,291.003144089223,
PNTK,972.0,72.7196,13.366410156271488,
DPCOAK,2304.0,22.6217,101.84910948337216,
HETZK,11542.76602,54.6783,211.10323510423697,
KDOPS,2592.0,123.3308,21.01664790952463,
KDOPP,36000.0,79.9884,450.06525946262207,
AST,24033.07158,38.4559,624.9514789668166,
SGDS,76498.5343,35.8002,2136.818629504863,
CYNTAH,18024.11929,170.4884,105.72050233329658,
GSPMDA,57857.65322000001,141.0639,410.1520886633648,
GSPMDS,48666.39977,141.0639,344.9954224291261,
GUAD,142271.6549,50.2442,2831.6035462799687,
TMAOR1_num1,100063.9026,144.0938,694.4358646936928,
TMAOR1_num2,100063.9026,233.0425,429.38048896660484,
TMAOR2,42205.22924,144.0938,292.90107721498083,
DGK1,9898.287581,47.1854,209.77437048324268,
DTMPK,64800.0,23.7831,2724.623787479345,
NDPK1_num1,22045.90831,23.586,934.7031421182056,
NDPK1_num2,22045.90831,61.8538,356.4196267650492,
TRDR_num1,36024.44087,81.0527,444.4570121661585,
TRDR_num2,36024.44087,84.8008,424.8125120281884,
PGMT_num1,111558.8515,58.361000000000004,1911.5308425146927,
PGMT_num2,111558.8515,20.7798,5368.620078152821,
PGMT_num3,111558.8515,23.565,4734.090876299597,
FRUK,65166.15067,67.5114,965.2614324395585,
RHCCE,10.8,19.4162,0.5562365447409895,
KG6PDC_num1,21707.18087,47.1562,460.32506584500015,
KG6PDC_num2,21707.18087,23.4448,925.8846682419985,
X5PL3E_num1,240986.0357,32.0066,7529.26070560447,
X5PL3E_num2,240986.0357,32.455,7425.236040671701,
DOGULNR,22733.58578,73.1454,310.79993793184536,
BETALDHx,18043.37702,211.6445,85.25322897594788,
BETALDHy,21034.4954,211.6445,99.38597695664193,
MLTG3,48889.46887,69.041,708.1222588027404,
DKGLCNR1_num1,10057.9245,31.1096,323.3061337979273,
DKGLCNR1_num2,10057.9245,29.4368,341.67859617893237,
NADTRHD,94594.50652,412.4831,229.3294113625504,
FMNRx2_num1,17654.45437,42.5067,415.33345025607724,
FMNRx2_num2,17654.45437,26.241999999999997,672.7556729669993,
FMNRx2_num3,17654.45437,530.1587,33.30032001738348,
ACPS1_num1,21613.67893,28.1046,769.0441753307288,
ACPS1_num2,21613.67893,21.7678,992.9197681897116,
GMPS2,18000.0,117.3584,153.37632414893181,
AMPN,22311.57137,323.9695,68.86935767101532,
GSNK,69004.44076,96.8976,712.1377697693234,
ADCS,9527.577685,71.7414,132.80445718929377,
ADCL_num1,5040.0,59.4301,84.80551101209657,
ADCL_num2,5040.0,18.7769,268.4149140699477,
