,kcat_ori,kcat_change,kcat_mw_new,norm_biomass,ori_biomass,new_biomass
ACCOAC,7.934690679,11.613,0.04600016795032473,0.8769972144269698,0.009208020775688502,0.013475572777430346
PPCDC,0.15,1.8666666669999998,0.003581082192167137,0.8769972144269698,0.009734501937794817,0.12114046526063944
PPNCL2,0.15,6.335005128,0.012153307525241352,0.8769972144269698,0.009734502612491775,0.41112078870554614
HSTPT,3.3,268.1982024,3.4069763758522265,0.8769972144269698,0.010088761008656591,0.8199356263526223
AMPMS2,0.006999999999999999,6.7255695079999995,0.09492634491830675,0.8769972144269698,0.010101496494932619,0.8769972144269773
ACHBS,18.62913099,71.0,0.49618184575453533,0.8769972144269698,0.010216931361912656,0.03893912856614734
SDPTA_reverse,7.5,24.0,0.5365634452738821,0.8769972144269698,0.010306038155127425,0.03297932209603999
GLUTRS,0.09,1.5,0.027872906976960255,0.8769972144269698,0.010686697518072205,0.17811162530120342
PANTS,0.02,2.587333333,0.04094186328730143,0.8769972144269698,0.010705825411806877,0.8769972144282292
PPBNGS,0.24,507.55,1.7808878158220596,0.8769972144269698,0.010762396035313305,0.8769972144282292
IGPDH,3.8,1000.0,12.413740024008174,0.8769972144269698,0.011352640288797192,0.8769972144282292
HISTP,3.8,430.75521430000003,5.347283244306128,0.8769972144269698,0.011352640288797192,0.8769972144282292
ICYSDS,0.01,8.745075847999999,0.0969746376429102,0.8769972144269698,0.011440293284964306,0.8769972144282292
OGMEACPS,6.8e-05,7.350803645,0.10966405657449926,0.8769972144269698,0.011564936401800983,0.8769972144282292
P5CR,32.0,630.072283,2.2386746115101572,0.8769972144269698,0.011726950215048031,0.2309008217069526
ACGK,8.4,63.46666667,1.168404238472287,0.8769972144269698,0.011919969483628346,0.09006199166005957
PHETA1_reverse,8.613295518,176.6586667,2.028796433214356,0.8769972144269698,0.012173468560309935,0.2496778057230849
ACLS,66.99370013,71.0,0.49618184575453533,0.8769972144269698,0.012208366971813843,0.012938441276155108
TYRTA_reverse,6.695282185,145.257,1.6681711064867772,0.8769972144269698,0.012692694637451844,0.27537341877582755
GLUPRT,61.0,61.0,0.2699686039790717,0.8769972144269698,0.013738952255087533,0.01373901358377361
3OAS140,4.228023415,10.60356575,0.12441615352483848,0.8769972144269698,0.014533945210336694,0.036450044977934394
ACOTA_reverse,9.062605155,12.10379399,0.27060222517332116,0.8769972144269698,0.015617493079141707,0.02085834212545558
CHORS,42.0,42.0,0.26828523575245705,0.8769972144269698,0.01604985155604068,0.016049851556040676
GLU5K,25.0,25.0,0.16002447734405453,0.8769972144269698,0.01650520496457643,0.01650520496457643
