id,kcat
DHORTS_reverse,65.26363636
CTECOAI6,6.79069631
SOTA,6.786073953
AGM4PApp,6.780696376
GMPS,6.765815019
DASYN140,6.757773267999999
FACOAL60t2pp,6.753030562
EAR181x,6.737547576
AGM3PA,6.726092241
CTECOAI7,6.725721579
LPLIPAL2ATE141,6.711880322000001
3OXCOAT,6.70090914
PSD160,12.77145308
TYRTA_reverse,145.257
SEPHCHCS,6.692671034
OHPHM,6.68653863
ALDD19xr,6.6788506629999995
6D6SFK,6.6769173120000005
AST,6.675853216
PYK4,6.660910525
CLPNS161pp,6.660620928999999
XYLI1,6.652957835
HACD7_reverse,6.650922382999999
CRNCBCT_reverse,6.645912616
TRPAS2,6.64150879
PYK6,6.627442932
DASYN141,6.627283447999999
HACD8_reverse,6.612682574
CYTDH,6.599409602000001
ALDD3y,6.598048111000001
AP4AS,6.593989883
ACACT8r,6.593854513999999
NMNDA,6.566900413
AGM3PApp,6.559696712999999
PETNT161pp,6.555451173
R5PPpp,6.547352928
E4PP,6.546515256
5DKGR_reverse,6.533660386
AAMYL,6.5251157
PSD140,6.523707192000001
NDPK3_reverse,6.521186332
ACP1_FMN,6.518676589
PGSA161,6.5181459429999995
METS,170.34306669999998
URACPAH,6.499936016
TPRDCOAS,6.487809373999999
AMPNTAT,6.461654172
IPPMIb,6.459748492
O16AT,6.457548795
PSP_Lpp,6.451775026
ALLK,6.446906147999999
AHGDx,6.426514042000001
FMNRx,6.424335
DHACOAH,6.421222218
MMCD,6.385565787999999
NO3R2bpp,6.37452815
RNDR1b,6.343796234
DMQMT,6.321019838
DOGULNR,6.314884939
LCADi,6.312916156
EDTXS2,6.307607656
PDXPP,6.305000086000001
LPLIPAL2E160,6.301815757000001
ASAD_reverse,212.52083330000002
2AGPEAT180,6.285658301000001
FEENTERES,6.285585064
PSSA180,6.274842008999999
ACNML,6.259497484
ALATA_L2,6.246679764
DTMPK_reverse,6.24051966
CYTK1_reverse,6.232623737000001
GLTPD,6.230290301
FALDH2_reverse,6.225091752000001
HEPT3,6.224526837000001
OCTNLL,6.217296961000001
PYROX,6.216942206000001
SHGO,6.210492352999999
AMPN,6.197658712999999
UDCPDPpp,6.195259308
GNP,6.190504894
ALAGLUE_reverse,6.176890509
ILETA,6.174912718
PACCOAE,6.158378086
RBP4E_reverse,6.153822146
ALDD2y,6.136991167000001
CRNCBCT,6.129241668
FACOAE141,6.1292088
O16GALFT,6.128821075
KAS15,6.124789499999999
NDPK1,6.12386342
FACOAL161t2pp,6.110975122
ILETA_reverse,18.55055556
GTPDPK,6.089960935
OBTFL,6.089006901
ANHMK,6.0702757620000005
GALCTLO,6.0681095
TRSARr_reverse,6.067587747
PSSA120,6.05747006
ACGAMK,6.0533967760000005
TKT1_reverse,6.046917399
GHBDHx,6.043252173
SSALx,6.042491672000001
O16A4Lpp,6.042490143999999
NADPHXE,6.03498832
KG6PDC,6.029772463
3AMACHYD,6.02837249
NADH10,6.020844876
G3PAT161,6.019478017000001
ACPS1,6.0037997039999995
PLIPA1A161pp,5.990664536000001
HADPCOADH3,5.988921713
THIORDXi,5.987279592999999
PTHRpp,5.985689987000001
CRNBTCT,5.983701003999999
PUACGAMS,5.9819506989999995
OMMBLHXy,5.981249527999999
MALDDH,5.981023437
LACZpp,5.95950905
MLTP3,5.94994885
LPLIPAL1A140pp,5.948519687999999
M1PD,5.948349177000001
LPLIPAL2E180,5.9424018389999995
ALAALAD,5.940383559
3OAR100_reverse,5.930633332999999
2AGPEAT181,5.922305858
S2FE2SR,5.919977286
NTPP5,5.915157713999999
GTHPi,5.893114877
PGSA180,5.892130984
CLPNS181pp,5.883974522000001
CBIAT_reverse,5.874531631
PACCOAL,5.867803812999999
G3PAT140,5.858202953999999
BETALDHy,5.842915389
HEPK1,5.8263549889999995
VPAMTr,5.810062332999999
DSBAO1,5.798116126
DHBS,5.797526723
AACPS3,5.782915926
CRNCAR_reverse,5.760720106
FACOAL160t2pp,5.7595375429999995
SPMS,5.758272684
AM4PA,5.75338572
GLUNpp,5.739187481
PCNO,5.731301565
GGGABADr,5.72905169
FACOAL181t2pp,5.725967978
ASPT,5.715033955
CHOLID,5.714194318
DHFR_reverse,5.711039068
HPYRP,5.707313968999999
GLYCLTDx,5.698523988
MOGDS,5.690855697999999
USHD,37.77302878
LCARS_reverse,5.677993442999999
GALCTND,5.671794824
PPPNDO,5.6612813189999995
MCITL2_reverse,5.661236228
FRULYSE,5.65208935
APPLDHr_reverse,5.644118217000001
PNSPA,5.630444392999999
CRNDCAL2,5.615672262
HPACOAT,5.610894572
FUM_reverse,0.598930214
MLTP2_reverse,5.597789211
ACPPAT160,5.591479921
AGM4PA,5.583178615
